id,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,amenities,price,number_of_reviews,review_scores_rating,availability_30,availability_365
879575087369763316,37241656,f,East Village,Manhattan,40.73153997337622,-73.99129711422543,Entire rental unit,Entire home/apt,8,2.0,4.0,"[""Rice maker"", ""Fire extinguisher"", ""Laundromat nearby"", ""First aid kit"", ""Clothing storage: closet"", ""Blender"", ""Single level home"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Hair dryer"", ""Wine glasses"", ""Essentials"", ""Long term stays allowed"", ""400 inch HDTV"", ""Iron"", ""Bed linens"", ""Heating - split type ductless system"", ""Stainless steel oven"", ""Body soap"", ""Dishwasher"", ""Stove"", ""Ceiling fan"", ""Elevator"", ""Bathtub"", ""Bluetooth sound system"", ""Exercise equipment: free weights, yoga mat, workout bench"", ""Air conditioning"", ""Shower gel"", ""Toaster"", ""Cleaning products"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Conditioner"", ""Coffee maker: pour-over coffee"", ""Movie theater"", ""Refrigerator"", ""Hangers"", ""Piano"", ""Baking sheet"", ""Shampoo"", ""Freezer"", ""Room-darkening shades""]",$600.00,2,5.0,29,211
7837685,41007099,f,Crown Heights,Brooklyn,40.66732,-73.92937,Private room in rental unit,Private room,2,,,"[""Oven"", ""Extra pillows and blankets"", ""Cooking basics"", ""Microwave"", ""Hair dryer"", ""Self check-in"", ""Essentials"", ""Smoking allowed"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""Dishwasher"", ""Stove"", ""Backyard"", ""Lockbox"", ""BBQ grill"", ""Heating"", ""Free street parking"", ""Air conditioning"", ""Breakfast"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Coffee maker"", ""Refrigerator"", ""Hangers"", ""Shampoo""]",,11,5.0,0,0
1596314,4327300,f,Washington Heights,Manhattan,40.83388,-73.94298,Entire rental unit,Entire home/apt,3,,1.0,"[""Oven"", ""Cooking basics"", ""Microwave"", ""Self check-in"", ""Essentials"", ""Iron"", ""Dishwasher"", ""Stove"", ""Lockbox"", ""Elevator"", ""Heating"", ""TV"", ""Air conditioning"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Coffee maker"", ""Refrigerator"", ""Hangers"", ""Shampoo""]",,27,4.74,0,0
13814227,28345063,f,Harlem,Manhattan,40.82799,-73.94935,Entire rental unit,Entire home/apt,2,,1.0,"[""Oven"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Host greets you"", ""Essentials"", ""Long term stays allowed"", ""Dishwasher"", ""Stove"", ""Heating"", ""Washer"", ""Free street parking"", ""Air conditioning"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Hot water"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Coffee maker"", ""Refrigerator"", ""Hangers"", ""Shampoo""]",,46,4.7,0,0
1294971440473634529,662906806,f,Jamaica,Queens,40.6815235506224,-73.77156003426286,Private room in home,Private room,2,,,"[""Laundromat nearby"", ""Fire extinguisher"", ""First aid kit"", ""Dedicated workspace"", ""Dining table"", ""Coffee"", ""Microwave"", ""Kitchenette"", ""Self check-in"", ""Private living room"", ""Iron"", ""Bed linens"", ""Heating - split type ductless system"", ""Lockbox"", ""Board games"", ""Clothing storage: closet and dresser"", ""TV"", ""Free street parking"", ""Cleaning products"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Coffee maker: Keurig coffee machine"", ""Private entrance"", ""Lock on bedroom door"", ""Refrigerator"", ""Hangers"", ""AC - split type ductless system""]",,1,5.0,0,0
908634322847816388,16066061,f,Bedford-Stuyvesant,Brooklyn,40.67690562137488,-73.91523024456829,Private room in townhouse,Private room,1,1.0,1.0,"[""Portable fans"", ""Oven"", ""Fire extinguisher"", ""Blender"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Microwave"", ""Self check-in"", ""Essentials"", ""Iron"", ""Bed linens"", ""Stove"", ""Backyard"", ""Lockbox"", ""Patio or balcony"", ""Bathtub"", ""Heating"", ""Outdoor furniture"", ""Free street parking"", ""Cleaning products"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Hammock"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Coffee maker"", ""Outdoor dining area"", ""Refrigerator"", ""Hangers"", ""Shampoo"", ""Freezer""]",$40.00,5,4.6,30,180
21619569,157275347,t,Jamaica,Queens,40.68107,-73.76878,Entire home,Entire home/apt,7,2.0,3.0,"[""Portable fans"", ""Oven"", ""Laundromat nearby"", ""Fire extinguisher"", ""First aid kit"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Keypad"", ""Fire pit"", ""Microwave"", ""Hair dryer"", ""Self check-in"", ""Essentials"", ""Long term stays allowed"", ""Iron"", ""Bed linens"", ""Dove body soap"", ""Dishwasher"", ""Children\u2019s books and toys"", ""Stove"", ""Board games"", ""43 inch HDTV with Roku"", ""Bathtub"", ""Heating"", ""Free street parking"", ""Air conditioning"", ""Exterior security cameras on property"", ""Indoor fireplace: electric"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hot water"", ""Wifi"", ""Smoke alarm"", ""Hot water kettle"", ""Kitchen"", ""Private entrance"", ""Coffee maker"", ""Refrigerator"", ""Hangers"", ""Frutis conditioner"", ""Baking sheet"", ""Shampoo"", ""Pack \u2019n play/Travel crib""]",$140.00,287,4.66,26,176
46413969,371972456,f,Financial District,Manhattan,40.70647,-74.00543,Room in hotel,Private room,4,,1.0,"[""Gym"", ""Fire extinguisher"", ""First aid kit"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Self check-in"", ""Essentials"", ""Long term stays allowed"", ""Iron"", ""Body soap"", ""Building staff"", ""Heating"", ""TV"", ""Washer"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Hot water"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Conditioner"", ""Hangers"", ""Shampoo""]",,42,4.81,0,0
40009594,3861141,f,Upper West Side,Manhattan,40.79096,-73.96795,Entire rental unit,Entire home/apt,2,1.0,1.0,"[""Portable fans"", ""Oven"", ""Laundromat nearby"", ""Blender"", ""Coffee maker: espresso machine, french press, Nespresso"", ""Extra pillows and blankets"", ""Dining table"", ""Cooking basics"", ""Microwave"", ""Hair dryer"", ""Host greets you"", ""Wine glasses"", ""Essentials"", ""City skyline view"", ""Iron"", ""Long term stays allowed"", ""Bed linens"", ""TV with standard cable"", ""Body soap"", ""Stove"", ""Backyard"", ""Bathtub"", ""Clothing storage: closet, wardrobe, and dresser"", ""Heating"", ""Outdoor furniture"", ""Free street parking"", ""Air conditioning"", ""Shower gel"", ""Toaster"", ""Cleaning products"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Hot water"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Conditioner"", ""Hot water kettle"", ""Private patio or balcony"", ""Refrigerator"", ""Hangers"", ""Books and reading material"", ""Shampoo""]",$299.00,5,5.0,29,89
3684144,2955491,f,Bushwick,Brooklyn,40.69796,-73.93507,Private room in rental unit,Private room,2,,,"[""Oven"", ""Fire extinguisher"", ""First aid kit"", ""Cooking basics"", ""Hot tub"", ""Microwave"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Heating"", ""TV"", ""Free street parking"", ""Air conditioning"", ""Shower gel"", ""Dishes and silverware"", ""Hot water"", ""Wifi"", ""Kitchen"", ""Refrigerator"", ""Hangers"", ""Shampoo""]",,27,4.78,0,0
